id,code,name,type,user_type:id,parent_id:id,reconcile,chart_template_id:id
account_account_import_id_1,100011,Fixed Deposit - USD,liquidity,account.data_account_type_cash,l10n_sg_stspl.account_account_688,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_2,101013,Consignment Inventory,other,account.data_account_type_asset,l10n_sg_stspl.account_account_695,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_3,101014,Deposit,other,account.data_account_type_asset,l10n_sg_stspl.account_account_695,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_4,101015,GST Receivable,other,account.data_account_type_asset,l10n_sg_stspl.account_account_695,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_5,102011,Accumulated Depcreciation - Buildings,other,account.data_account_type_asset,l10n_sg_stspl.account_account_708,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_6,102012,Accumulated Depcreciation - Furniture & Fixtures,other,account.data_account_type_asset,l10n_sg_stspl.account_account_708,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_7,102013,Accumulated Depcreciation - Machinery & Equipment,other,account.data_account_type_asset,l10n_sg_stspl.account_account_708,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_8,102014,Accumulated Depcreciation - Motor Vehicles,other,account.data_account_type_asset,l10n_sg_stspl.account_account_708,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_9,102015,Computer and Software,other,account.data_account_type_asset,l10n_sg_stspl.account_account_708,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_10,102016,Accumulated Depcreciation -  Computer & Software,other,account.data_account_type_asset,l10n_sg_stspl.account_account_708,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_11,102017,Renovation,other,account.data_account_type_asset,l10n_sg_stspl.account_account_708,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_12,102018,Accumulated Depcreciation - Renovation,other,account.data_account_type_asset,l10n_sg_stspl.account_account_708,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_13,200016,Amount Due To Director - Andy,other,account.data_account_type_liability,l10n_sg_stspl.account_account_751,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_14,200017,Amount Due To Director - Uma,other,account.data_account_type_liability,l10n_sg_stspl.account_account_751,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_15,200018,Related Party - Altec SG,other,account.data_account_type_liability,l10n_sg_stspl.account_account_751,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_16,200019,Related Party - Venics,other,account.data_account_type_liability,l10n_sg_stspl.account_account_751,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_17,203011,Translation Reserve,other,account.conf_account_type_equity,l10n_sg_stspl.account_account_779,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_18,300007,Repair Revenue,other,account.data_account_type_income,l10n_sg_stspl.account_account_799,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_19,301007,Wage Credit Scheme,other,account.data_account_type_income,l10n_sg_stspl.account_account_806,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_20,401006,Service - COS,other,account.data_account_type_expense,l10n_sg_stspl.account_account_814,FALSE,l10n_sg_stspl.sg_chart_template
account_account_import_id_21,401007,Repair - COS,other,account.data_account_type_expense,l10n_sg_stspl.account_account_814,FALSE,l10n_sg_stspl.sg_chart_template
